Code,Attraction_Name,Subtitle,Description,Description_Secret,People_History,People_Secret,Suggestion_See,Suggestion_Secret_Do,Money,Money_Secret,Time,Time_Secret,img_path1,img_path,img_path,address
12,Anemona,Want some flowers?,It's a place where you can find both cut-flowers and elegant gifts,They have a 25 years old experience in making the best arrangements,Locals from all over Naxos and tourists,I usually trust their opinion,Check their big variety of flowers,Don't hesitate smelling their aromatic plants,Depends on you,,All day,,,,,anemona anthi fita naxos
13,Sunset Restaurant,The Perfect spot ,"A family business since 1992, with traditional Greek homemade cuisine. They only used local products and the fresh fish in their dishes.",The restaurant is located on a small cliff above the so there is a wonderful view.,"Locals, tourists",,Go there at the evening and enjoy the sunset while you are eating,Ask them for their specials,Around 8€,,10am- 1am ,Better at the noon for the sunset,images/sunset.jpg,images/sunset.jpg,images/sunset.jpg,"Sunset Restaurant 37.0750276,25.3516636"
14,Milkato,Naxian ice-cream,It's a family run gelateria in the middle of the Harbour where you can either take some ice-cream for take away or sit there and enjoy it.,They only use milk from Naxos,"Locals, families, tourists",,Sit there and enjoy your ice-cream while you watch the people pass by,Ask them to try some of their special flavours,"First ball 2€, the nexts 1.80€",Take away is cheaper,All day,,images/milkato.jpg,images/milkato.jpg,images/milkato.jpg,Milkato gelateria
15,Koufopoulos Cheese ,Naxos Cheese Making Industry,"In this shop you can find different types of local cheeses made only by Naxian milk.In addition, they sell green products too.",They have been awarded by multiple competition for their cheeses,"Locals, tourists",,Check their Traditional decoration/ atmosphere,Ask them to try some of the cheese before you buy it,,,All day,,images/koufopoulosch.jpg,images/koufopoulosch.jpg,images/koufopoulosch.jpg," 37.1031951,25.3754545 koufopoulos naxos"
16,Kitron Cafe / Cocktail bar,Nice atmosphere,It's a place in the middle of the harbour where you can enjoy your coffee with the sea view,,"Locals, tourists",Even the mayor likes to hang there,Watch the life pass by in a busy road,,Coffee around 4€,,All day ,Around 11 am it's a bit busy,images/citron.jpg,images/citron.jpg,images/citron.jpg,"37.104680, 25.375641
"
17,Kitron Cafe / Cocktail bar,Nice atmosphere,It's a place in the middle of the harbour where you can enjoy your drink with the sea view,,"Locals, tourists",Even the mayor likes to hang there,Watch the life pass by in a busy road,Try their special cocktails with Citron,,,All day ,Around 9pm it gets busy,images/kitronn.jpg,"images/kitronn.jpg
","images/kitronn.jpg
","37.104680, 25.375641
"
18,3 Φ,A local's place,An old family business that has pass from Father to son. It is located in the middle of papavasiliou street and many locals go there,You can enjoy your ouzo or beer accompaned with some greek meze,"Mainly locals, tourists",,See the locals on their every day life,You can watch football games there,Around 3€,They put some meze with the ouzo,All day ,It gets busy from the locals around 9p.m.,,,,
19,3 Φ,A local's place,An old family business that has pass from Father to son. It is located in the middle of papavasiliou street and many locals go there,You can take some breakfast food and coffee for take away,"Mainly locals, tourists",,See the locals on their every day life,Sit there and enjoy your coffee in your own pace,Around 2€,,All day ,"The earlier you go, the more you can find (breakfast food)",,,,
20,Aqua Fun ,Water park Naxos,In this place there are 3 main slides and an Octopus slide with three different falls for the small kids.Also there are pools for adults and kids as well,Additionally there is a place where you can enjoy your coffee while your friends or kids are in the pool,"Locals, families, tourists",It's the only one in Naxos,,There is also a volleyball court if you're interested,10 Euros for Adults & Children,You don't have to pay entrance if you're not going to swim,All day,In the afternoon it's more busy,images/aquafun.jpg,images/aquafun.jpg,images/aquafun.jpg,WATER PARK AQUA FUN Naxos
21,Zoom,It has everything,"It's a place where you can find dictionaries, books, gifts, souvenirs,newspapers etc",They sell newspapers from all over the world,"Locals, tourists",People can find everything there,Check their big variety of Naxos stuff such as books and gifts,Check the greek newspapers if you want to try your greeks,,,All day,,,,,
22,Cine Naxos,Open air cinema,The Cinema host new films every year in a nice and fresh environment.,"Every week, there is a different film","Locals, families, tourists",Check which film is on.,Enjoy the night under the stars,Don't forget to get pop-corn or nachos,Ticket 7.50€,,21:00 & 23:15,"In the second screening, it's more quiet and more romantic",images/Cine-naxos.jpg,images/Cine-naxos.jpg,images/Cine-naxos.jpg,"Cine Naxos, Naxos"
23,Stasi,Just before a long ride,"It's a place where you can get some breakfast and coffee on the go while you exit the city, as it is located in a main road, at the end of the main town","They have a big variety in coffee, snacks and sandwich","Locals, workers, businessmen,tourists",,,Get some of their fresh squeezed orange juice,"Coffee around 1,70€ ",,"From early in the morning, till late","In the morning, the whole shop smells nice from the food",images/stasi.jpg,images/stasi.jpg,images/stasi.jpg,"37.0984791,25.3842475"
24,Coffee Island,Is there a better way to start your day than a good cup of coffee? ,"Coffee Island is currently the biggest coffee chain store in Greece known for its quality coffee. It sells take-away coffee, some snacks to combine it and a big variety of coffee beans.","In Greece, it is as popular as Starbucks, but for takeaway. Its popularity can be explained for its quality and variety of drinks.",You can see all kind of people waiting for a coffee here. From business man to students.,It's nice to take a coffee and walk around the town,"Check their variety of coffee, chocolates and teas","Here, you have many different options, but you should try some cold coffee which cannot be found in most of the countries. People working there could help you choose what you want.",Coffee costs around 1.7€ and some delicious handmade cookies 1.5€. This combination can be a great quick start for your day.,,They sell coffee per kgm and its way better than this in the supermarkets.,"In the morning, you propably going to wait a little as it's a little busy",images/cofeisland.jpg,images/cofeisland.jpg,images/cofeisland.jpg,"37.1035863,25.3758333"
25,Sitari,Big variety,It’s a bakery in the main square in of the town there you take away but also sit there and enjoy your breakfast or coffee,They have a big variety in breakfast products,"Locals, workers, businessmen,tourists",Gluten free products,Sit there and enjoy your breakfast in the main square,Ask them for their specials,Pies around 2€,,"From early in the morning, till late","In the morning, the whole shop smells nice from the food",images/sitari.jpg,images/sitari.jpg,images/sitari.jpg,"37.0984791,25.3842475"
26,Castle (walk),A walk around the Castro,The Castro (a.k.a. castle) is an area of the main town with narrow roads and houses for more than a thousand years,"Make sure to bring a camera or a fully charged phone. The district is full of iconic spots, perfect for taking pictures.",,It's a place where many people live in as these houses pass from generation to generation,"Check around you, as everywhere you can find some easter eggs such as family chests and other monuments",Don't forget to check the 3 museums over there,,,Ideal for all times of day and night.,In the morning you can find open also the museums,images/castle.jpg,images/castle.jpg,images/castle.jpg,"37.105905, 25.377066
"
27,Old town (a.k.a.old market) (walk),A classic walk in the historic center of Naxos,"This traditional market has a traditional atmosphere, as it is full of iconic, narrow streets and shopping stores. ","There you can find all type of shops, especially souvenirs",,It's the expansion of the castle as the city of Naxos used to be only the castle,Check the Greek old architecture style,Walk around the small shop and find your souvenirs,,,Ideal for all times of day and night.,"The ideal time to walk would be either in the morning or in the early sunset, as the lack of shading can make it unpleasant during a warm day.",images/old town.jpg,images/old town.jpg,images/old town.jpg,"37.105052, 25.377734"
28,Kalhua ,Beach bar,"It's a café next to the beach where you can find coffee, drinks and snack ",They have also umbrellas and beach chairs for their costumers,"Locals, teenagers, tourists",They casually do special parties,It's cool in the afternoon when you can see the sun drown in the sea,,Drinks 7€,,Till late,In the midday it's full usually,images/kahlua.jpg,images/kahlua.jpg,images/kahlua.jpg,Agios Prokopios naxos
29,Kalhua ,Beach bar,It's a bar next to the beach where you can enjoy your cocktails and drinks there,They have also umbrellas and beach chairs for their costumers,"Locals, teenagers, tourists",They casually do special parties,Watch the Dj rock,Party under the stars,Drinks 7€,,Till late,Around 12 am it’s busy,images/kahlua.jpg,images/kahlua.jpg,images/kahlua.jpg,Agios Prokopios naxos
30,Santana,Partying at the beach,"Enjoy a cool drink or have a snack on the beach, or simply join any of our beach parties. Santana Beach Club is the perfect place to relax and have entertainment right on on the beach. Just amazing.",They have umbrellas for their costumers,"Locals, teenagers, tourists",They casually do special parties,,Party under the stars,Drinks  7€ / Food  8€ (approx),,Till late,Around 12 am it’s busy,images/santana.jpg,images/santana.jpg,images/santana.jpg,"SANTANA 37.068935,25.355418, naxos"
31,Santana,Partying at the beach,"The Beach Club is the place where you can have a breakfast and you will enjoy a cooling drink, a delicious ice cream, a snack or light meal, or have a sunbath on our club loungers.",They have umbrellas for their costumers,"Locals, teenagers, tourists",They casually do special parties,It's cool in the afternoon when you can see the sun drown in the sea,,Drinks  7€ / Food  8€ (approx),,Till late,In the midday it's full usually,images/santana.jpg,images/santana.jpg,images/santana.jpg,"SANTANA 37.068935,25.355418, naxos"
32,Flisvos,Water sports,"At the end of saint George, you can find Flisvos, our, naxian water sport club. They have cycling boats, jet ski and many others ",They is also a other center (5 minutes away from the main) where you can do or learn how to do wind-surfing,"Sportive people, locals, tourists",,Check the experts and learn new tricks,Ask their help so you can choose the most suitable equipment,,Rent the equipment for more than an hour,All day,Better in the morning when it's more windy,images/flisvos.jpg,images/flisvos.jpg,images/flisvos.jpg,Flisvos Sportclub Center 
33,Like Home,Club & cocktail Bar,Like Home bar has a big variety of alcohol drinks and cocktails. During summer it has an international selection of music but more commonly greek. The bar is hosted in a really nice spot in the old town of naxos and it offers you a great walk through the narrow paths in order to get there.,Enjoy your drink at their outdoor porch where you can watch the port of Naxos,"youngsters, couples, friends",Their cocktails are tasty and in economical prices,Check their view to the harbour,Party among the greeks,Drinks 7€,Bottles cost about 70€ ,11.30 pm- 5.30 am ,"I would recommend you to get there at 12.30 if you aren't fond of crowded places ,otherwise the fun starts at 01.00 am ",images/like.jpg,images/like.jpg,images/like.jpg,"Love Home Bar 37.1058522,25.3753049"
34,Maro tavern,Economical food,"Visitors will encounter a traditional Greek cuisine and warm atmosphere. You can enjoy dinner, lunch and dinner with your family and your friends in reasonable prices. It is at naxos town near the Protodikioy street.",The portions are extremely large so you can share with your partner.,"Young people , families, tourists",Unfortunately you are in the hustle a the bustle because it is really close to the road.,,Enjoy some Greek food,The portions' prices start of 5€,,12.00 pm- 01.00 am,Better at noon where there is no so many people .,images/maro.jpg,images/maro.jpg,images/maro.jpg,"37.101440, 25.376722"
35,Bossa,Next to the sea,Bossa café is a meeting point for almost every local in the town. It is also very popular for its ability to attract people if all ages there. You can have your breakfast there or just meet a friend to catch up your news with a very aromatic coffee,I would definately recommend you to taste their snacks . ,"Youngsters, friends, elderly , couples, tourists",They serve you your coffee with great biscuits,Watch the ships come and go to the port,Relax and enjoy your coffee,"coffees cost about 3,50€ maximum ",,9.00 am- 1.00 am,Best time to enjoy your breakfast with friends is at 09.30 am,images/bossa.jpg,images/bossa.jpg,images/bossa.jpg,"37.103684,25.374904
"
36,Bossa,Next to the sea,Bossa café is a meeting point for almost every local in the town. It is also very popular for its ability to attract people if all ages there. You can have your breakfast there or just meet a friend to catch up your news with a very aromatic coffee,Try their special cocktails ,"Youngsters, friends, elderly , couples, tourists",They serve you your coffee or drink with some snacks,Watch the ships come and go to the port,Relax and enjoy your drink,"coffees cost about 3,50€ maximum and drinks around 8€",,9.00 am- 1.00 am,Best time to enjoy your drink with friends is around 11pm,images/bossa.jpg,images/bossa.jpg,images/bossa.jpg,"37.103684,25.374904"
37,Swing,Specialized Cocktail Bar,The Swing Cocktail Bar is located in the centre of Naxos Town Chora. It rests on the Seafront near the port of Naxos.Swing is specialized in Molecular Mixology and extraordinary presentations. The bartenders of Swing are more than expertized in mixology and they will treat you at their best.,Try the unique Molecular Cocktails and taste a different aspect of cocktail experience. ,"Youngster, friends, couples, tourists",Nice view to the port of naxos and Portara,Enjoy the view,Dance to the beat,The price of the cocktails start of 8 €,,7.00 pm - 4.00 am ,Around 12 am when it's not crowded yet ,images/swing.jpg,images/swing.jpg,images/swing.jpg,"37.104066,25.3756167 "
38,SouvLucky,Grill house in plaka,It's a grill house run by two brothers since 2012.It's location is at plaka beach where you can enjoy your meal with an extraordinary view by the sea,You should taste their home-made sauces and dips,"Locals, families, tourists",,Enjoy the sunset there,You should try kontosouvli (pork fillet on a big skower with tomatoes and peppers,"Pita 2.50€ , Company platter for 4 people 23€ ",Big groups are provided with colas and watermelon for free,12pm -1.30am,Less crowded around 17.30-20.00,images/souvlucky.jpg,images/souvlucky.jpg,images/souvlucky.jpg,plaka naxos 84300
39,Picasso,Mexican flavours by the sea,"Picasso on the beach has been open serving lunch and dinner since 1995. You are able to enjoy your meal literally on the beach.They can serve you when you are sunbathing! Who could ask more…food, sun, beach…",Picasso has great beverages as well. Try out their Margarita,"Locals, families, tourists",The sunbeds are charged extra,Enjoy the view to the sea,Try their tacos,Min price about 9€,"In the end, they usually offer a shot of margarita on the house",9am-12am,Around 9 it's full,images/picasso.jpg,images/picasso.jpg,images/picasso.jpg,"37.059441, 25.358657
"
40,Picasso,Mexican flavours by the sea,"Picasso on the beach has been open serving breakfast and coffee/ snacks since 1995. You are able to enjoy your snack literally on the beach.They can serve you when you are sunbathing! Who could ask more…food, sun, beach…",Picasso has great beverages as well. Try out their Margarita,"Locals, families, tourists",The sunbeds are charged extra,Enjoy the view to the sea,Try their mexican snacks,Coffee around 3-4€,"In the end, they usually offer a shot of sorbet on the house",9am-12am,For a quiet brunch you can visit them around 11am,images/picasso.jpg,images/picasso.jpg,images/picasso.jpg,"37.059441, 25.358657
"
41,Yazoo,For a good start,Yazoo is a family business run by two brothers who started off as a beach bar. After 12 year it has eventually evolved to a restaurant-cocktail bar.,You can also eat on the beach,"Youngsters, couples, friends, tourists",It's atmosphere is very relaxing,Watch the people come and go in the beach,Try their tasteful cocktails,,,9:00 a.m. till late night,,images/yazoo.jpg,images/yazoo.jpg,images/yazoo.jpg,"37.059389,25.358505"
42,Yazoo,Cretan-Naxian fusion cuisine,Yazoo is a family business run by two brothers who started off as a beach bar. After 12 year it has eventually evolved to a restaurant-cocktail bar.,Great spot for romantic evenings by the sea,"Youngsters, couples, friends, tourists",It's atmosphere is very relaxing,Watch the people come and go in the beach,Try their Cretan-Naxian cuisine,,,9:00 a.m. till late night,Around 2-3 pm it's busy,images/yazoo.jpg,images/yazoo.jpg,images/yazoo.jpg,"37.059389,25.358505"
43,Yazoo,Relaxing nights at plaka,Yazoo is a family business run by two brothers who started off as a beach bar. After 12 year it has eventually evolved to a restaurant-cocktail bar.,Great spot for romantic evenings by the sea,"Youngsters, couples, friends, tourists",Don't miss their Full moon parties,Enjoy the night under the stars,Try their tasteful cocktails,,,9:00 a.m. till late night,"better at noon, for a relaxing cocktail",images/yazoo.jpg,images/yazoo.jpg,images/yazoo.jpg,"37.059389,25.358505"
44,Agios Prokopis Beach,One of the best,"Prokopis is a near beach, just 6km away from the main town, where you can go there with the bus. Is considered as one of the best beaches on the island and in the Mediterranean, as it has been awarded for this.",It has many sunbeds and umbrellas if you like,"Locals,families,teenagers, tourists",There are many restaurants and bars on this beach,Walk through the beach and watch the place,Sit in a beach bar and enjoy your coffee or drink on the beach,Umbrela and 2 sezlong cost aprox 10 euros,,All day ,After 12 it's full of people,images/AgProkopis.jpg,images/AgProkopis.jpg,images/AgProkopis.jpg,Agios Prokopis Beach Naxos
45,Plaka beach,A more quiet beach,"Plaka is one of the longest and most beautiful beaches in Cyclades.Approximately 4 km. long, with fine golden sand and crystal clear waters, it's a place where you can relax away from the crowded beaches.",Plaka used to be a meeting point for hippies back in the 70's.,"Locals, families, tourists","If you continue walk, after the last restaurant, you will end up to the nudist beach",,Sit in one of the shops there and take a rest from the real world,,,All day ,,images/plaka.jpg,images/plaka.jpg,images/plaka.jpg,"37.038004, 25.378697
"
46,Saint George Beach,A family beach,It's a beach in the main town where many people go there with their family or friends.You can find sunbeds and umbrellas as there are many,According to Guardian it's considered the best family beach around Europe,"Locals, families, teenagers, tourists",It's very swallow and you have to walk a lot!!,,At the end there is flisvos where you could rent a cycling boat with a slide on it,,,,It's busy almost all day,images/saintg.jpg,images/saintg.jpg,images/saintg.jpg,Saint George beach
47,Doukato,A traditional place,"Two friends from school opened this café/restaurant inside the old town near to the port. The atmosphere there seems traditional while in the middle of their garden there is a big tree, surrounded by tables.",It's a place where you can enjoy your breakfast and coffee while relaxing in it's quiet atmosphere,"Locals, teenagers, families, tourists",It attracts all generations due to it's unique atmosphere,Look around and you will notice the old-typed architecture of the old town,You have nothing to do rather than relaxing and chatting with your friends or family,Coffees are around 3-4€,,9am-6pm,,images/doukm.jpg,images/doukm.jpg,images/doukm.jpg,"37.1072951,25.3748055
"
48,Doukato,A traditional place,"Two friends from school opened this café/restaurant inside the old town near to the port. The atmosphere there seems traditional while in the middle of their garden there is a big tree, surrounded by tables.",It's a place where you can enjoy your dinner in it's quiet atmosphere,"Locals, teenagers, families, tourists",It attracts all generations due to it's unique atmosphere,Look around and you will notice the old-typed architecture of the old town,Ask them and try some of their specials,Main dishes are around 8€,There are some dishes for two ,6pm.-till late,After 8pm it's full,images/doukn.jpg,images/doukn.jpg,images/doukn.jpg,"37.1072951,25.3748055
"
49,Waffle House,Biggest ice-cream variety,It's a place inside the main town where you can find a big variety of ice-creams. It has many tables where you can sit and enjoy your ice-cream while watching the world pass by.,You can also take it away,"Locals,families,teenagers, tourists",Check their special flavours,Sit there and watch the people come and go,"If you sit there, take a waffle!","First ball 2€, the nexts 1.80€ (take away)",Take away is cheaper,All day,At the afternoon is less busy,images/wafflehouse.jpg,images/wafflehouse.jpg,images/wafflehouse.jpg,Waffle house naxos
50,Da Costa,,,,,,,,,,,,,,,
51,Island Bar,,,,"Locals, teenagers, tourists",They casually do special parties,,,Drinks 7€,,Till late,Around 12 am it’s busy,,,,
52,Geomilo,,,,"Locals,families,tourists",,,,,,,,,,,
53,Portara,"
Portal to another world.","The Portara is the entrance to an unfinished temple that faces directly toward Delos, Apollo's birthplace. For this reason most scholars believe it was dedicated to Apollo, but some think it was built in honor of Dionysus, who was worshipped on Naxos Island.
Whichever god it was dedicated to, the temple was begun about 530 BC by the tyrant Lygdamis, who said he would make Naxos's buildings the highest and most glorious in Greece. Only the walls were mostly completed when he was overthrown in 506 BC the temple was never finished. Evidence from pottery indicates the temple's cult was abandoned by the 5th century BC.
By the 5th and 6th centuries AD, the temple had been converted into a church. Under Venetian and Turkish rule the temple was dismantled so its marble could be used to build a castle. The doorway, however, was so large and heavy it could not be used, so it remains standing alone among the ruins.","The Portara stands on Palatia, which was once a hill but is now a separate little island connected to Naxos by a causeway. (The Mediterranean has risen significantly since ancient times.) ","Tourists, History lovers",,"The rectangular door stands 26 feet (8m) high and is made of four blocks of marble, each 16 feet long and weighing 20 tons. The tenons (projections for lifting the blocks) were never removed, providing insight into the methods of temple construction. Observe them.",Its nice to go during Sunset.,Free,,all day and night,,images/portara.jpg,images/portara.jpg,images/portara.jpg,"37.110178, 25.372466"
54,Portara,,,,"Tourists, History lovers",,,,,,,,,,,
55,Papavasiliou street (walk),,,,"People from all over the island, business men, tourists",,,,,,,,,,,
56,St. George (walk),,,,"People from all over the island, tourists",,,,,,,,,,,
57,Paralia (a.k.a. Harbour) (walk),,,,"People from all over the island, tourists",,,,,,,,,,,
58,Horse Riding,,,,"Riders, tourists",,,,,,,,,,,"
"
59,Grigoris,A number of ways to start your day in the right frame of mind!,"At every Gregory’s shop, you’ll find your favorite coffee every day, made just the way you like it, together with our exclusive range of delicious hot and cold drinks, fresh-baked piping hot pies, freshly prepared salads, hearty sandwiches (toasted or cold), fragrant cakes and pastries, nutritious healthy yoghurt snacks, fresh fruit juices and much, much more ...","All freshly prepared and baked according to Grigoris recipes using authentic, fresh Greek ingredients.","Locals, business men, tourists",,,Taste and drink Yoghurt snack meals & fresh fruit juices,"0,50-6 Euros",,"From early in the morning, till late",,images/greg.jpg,images/greg.jpg,images/greg.jpg,"37.107075,25.3748124"
60,lemon,,,,"Locals, teenagers, tourists",,,,,,,,,,,
61,Crème,View to the harbour,,,"Locals, teenagers, tourists",,,"Taste and drink Yoghurt snack meals & fresh fruit juices
","0,50-6 Euros",,"From early in the morning, till night",,,,,
62,Ippokampos,In the Saint George beach,"Summer breeze and relaxing atmosphere are the main features of the beachfront Ippokampos Café Restaurant. The restaurant experiments with numerous Mediterranean products of superb quality. The great service and relaxing atmosphere, with the light colours and simple decoration, are there to satisfy your every taste need.
","Enjoy the amazing view in front of the famous beach of Saint George, while tasting the delicious dishes of Ippokampos.","Locals, teenagers, families, tourists",,while eating or enjoing your drink observe the famous beach of Saint George,"From early in the morning until late at night they serve great coffee, refreshing drinks and innovative Mediterranean cuisine.",Refreshments 2.50 - 3.70 euros Drinks 3.50 - 10.00 euros Food 7.50-14.20 Euros approx,"
",Breakfast/ Brunch: 8.30 am - 12 pm. ,Kitchen hours: 12 pm - 12 am. ,images/ippokambos.jpg,images/ippokambos.jpg,images/ippokambos.jpg,"37.099544, 25.374627"
63,sue e giu,,,,"Locals, teenagers, families, tourists",,,,,,,,,,,
64,moni xrisostomou,,,,"Hikers, tourists",,,,,,,,,,,
65,Mitropoli Church,,,,"Locals, tourists",,,,,,,,,,,
66,Byzantine museum,,In this museum you can see the connection of the surrounding islands during the Byzantine era. There are multiple informations that connects Naxos with them.,,"Tourists, History lovers","In a smaller room there, you can find a Dome from a really old church",,,,,9am-3pm,,,,,
67,Venetian museum,,,,"Tourists, History lovers",,,,,,9am-10pm,,,,,
68,Archaeological museum,Ruins from all over the island,,,"Tourists, History lovers",In it's big balcony you can find (on the floor) an old mosaic that was found and reconnected by the archaelogists,,,,,9am-3pm,,,,,
